customer_id,segment_name,recency,frequency,monetary,return_rate,avg_discount_pct,ticket_count,negative_ticket_rate,sessions_30d,campaign_clicks_30d,category_diversity
CUST00001,Discount Sensitive,107,6,2955.57,0.16666666666666666,0.36333333333333334,2.0,0.5,1,0,3
CUST00002,Dormant Customers,40,1,581.0,0.0,0.23,1.0,0.0,8,0,1
CUST00003,Discount Sensitive,171,1,649.98,0.0,0.47,0.0,0.0,1,0,1
CUST00004,Dormant Customers,131,1,1604.04,0.0,0.16,0.0,0.0,1,0,1
CUST00005,Discount Sensitive,38,4,2550.91,0.0,0.4425,1.0,1.0,18,1,2
CUST00006,Dormant Customers,51,5,3770.16,0.2,0.358,2.0,1.0,2,0,3
CUST00007,Dormant Customers,3,1,719.33,0.0,0.18,0.0,0.0,11,3,1
CUST00008,Dormant Customers,47,4,2747.33,0.0,0.2225,1.0,0.0,2,0,4
CUST00009,Discount Sensitive,31,1,376.85,0.0,0.49,0.0,0.0,11,0,1
CUST00010,Discount Sensitive,9,1,636.8,0.0,0.45,0.0,0.0,13,0,1
CUST00011,Dormant Customers,1,2,925.0699999999999,0.0,0.15500000000000003,0.0,0.0,10,0,2
CUST00012,Dormant Customers,50,2,2051.63,0.0,0.29500000000000004,1.0,1.0,3,0,1
CUST00013,Dormant Customers,61,3,1754.44,0.0,0.23,1.0,1.0,4,0,2
CUST00014,High Value But Unhappy,51,11,8130.16,0.0,0.2618181818181818,2.0,0.5,11,0,5
CUST00015,Dormant Customers,35,4,4200.93,0.0,0.3025,0.0,0.0,6,0,3
CUST00016,Dormant Customers,215,1,478.02,0.0,0.22,1.0,0.0,2,1,1
CUST00017,Dormant Customers,286,3,1699.1399999999999,0.0,0.26666666666666666,0.0,0.0,4,4,3
CUST00018,Discount Sensitive,111,1,329.21,0.0,0.36,0.0,0.0,3,2,1
CUST00019,Dormant Customers,9,2,1598.93,0.0,0.105,0.0,0.0,5,1,1
CUST00020,High Value But Unhappy,368,3,4487.950000000001,0.0,0.13,1.0,1.0,0,0,3
CUST00021,Discount Sensitive,77,2,1059.3,0.0,0.435,1.0,1.0,3,0,2
CUST00022,Dormant Customers,29,1,454.06,0.0,0.31,0.0,0.0,10,1,1
CUST00023,Dormant Customers,21,1,400.98,0.0,0.25,0.0,0.0,3,1,1
CUST00024,Dormant Customers,4,1,481.35,0.0,0.34,0.0,0.0,13,0,1
CUST00025,Loyal Customers,165,7,4868.86,0.0,0.31142857142857144,3.0,0.6666666666666666,11,1,4
CUST00026,Dormant Customers,72,3,3561.3900000000003,0.3333333333333333,0.16333333333333333,1.0,1.0,14,0,2
CUST00027,Dormant Customers,70,1,2128.34,1.0,0.3,1.0,1.0,11,2,1
CUST00028,Dormant Customers,83,2,1489.7800000000002,0.0,0.19,1.0,0.0,1,0,2
